index1	index2	height	clustersize
56	48	-81.6902279461352	2
45	130	-72.0346321574041	3
57	131	-53.5083391466003	4
44	132	-52.7152862492081	5
43	88	-52.0146300471046	2
55	133	-47.3414135981135	6
51	60	-46.3243515996146	2
78	75	-45.9432187196626	2
24	40	-43.0428119854762	2
134	71	-38.1222925675982	3
53	136	-36.7553085479818	3
23	138	-34.079799777986	3
80	139	-33.6699213421566	4
135	142	-30.4631262304469	10
11	141	-30.0507619873717	4
12	20	-29.5490450440333	2
145	144	-27.4100414420514	6
17	21	-25.6175742945146	2
22	13	-25.0842918779464	2
28	147	-22.8658288051573	3
14	146	-22.7470366350088	7
148	150	-21.7843795079132	9
143	140	-21.1412788898143	13
149	151	-19.133772955653	12
49	152	-18.6678521594689	14
74	137	-18.2502543169068	3
91	154	-16.4295676468672	15
15	153	-15.7590561931805	13
16	157	-15.2427023450714	14
155	156	-14.2487188735991	18
39	158	-13.7222014351083	15
50	159	-13.6880848910568	19
161	160	-12.8662705816846	34
26	162	-11.71932520641	35
18	163	-9.99920661157791	36
61	164	-9.33638984179738	37
73	108	-9.10575002822642	2
29	165	-8.86371958810242	38
58	167	-8.70297157163714	39
62	168	-8.57387016364714	40
19	169	-7.74577643306095	41
27	170	-7.24212479225651	42
76	171	-6.7689029470465	43
25	172	-6.10108349813829	44
166	173	-5.62960336927979	46
105	124	-5.01484604473429	2
52	174	-4.96939531091747	47
42	176	-4.76942648238107	48
79	177	-4.00693963876318	49
4	72	-3.66926103345237	2
30	35	-1.77308936968862	2
32	107	-1.66879345000715	2
37	99	-1.66658356049844	2
122	116	-1.11919101739094	2
96	118	-1.07036060475077	2
117	36	-0.996278022047574	2
59	184	-0.899808156694003	3
67	106	-0.89584078185675	2
104	125	-0.83500711892488	2
41	112	-0.666211190230041	2
114	9	-0.647736198485131	2
175	182	-0.624077427719832	4
183	33	-0.588185849504674	3
7	179	-0.584478950183042	3
178	47	-0.553305769239348	50
5	10	-0.48704108094014	2
46	94	-0.462700380450345	2
64	111	-0.399188027540192	2
101	186	-0.343246921563072	4
87	187	-0.322735361571509	3
103	97	-0.28114703093623	2
69	115	-0.272894683985342	2
31	128	-0.269039651256382	2
194	109	-0.263079937918619	51
92	203	-0.247710121494986	52
8	190	-0.239251273425038	3
34	1	-0.231707750955011	2
195	204	-0.221907309144488	54
86	93	-0.2210684462118	2
66	127	-0.211134375069541	2
185	207	-0.209856024929965	56
100	180	-0.175349288894582	3
82	198	-0.158138223875023	5
191	210	-0.147943485068557	60
85	205	-0.145366371213713	4
202	213	-0.140024160416276	62
199	211	-0.124319510709796	6
197	206	-0.111709502517077	4
192	77	-0.109739555020881	4
214	215	-0.105770681338723	66
90	6	-0.105193106537397	2
209	219	-0.101318066169842	68
84	123	-0.10101231523109	2
193	212	-0.100546987370354	8
200	221	-0.0935551926808963	70
188	223	-0.0878871763311289	10
54	224	-0.0793626086891673	71
181	226	-0.0752515680915478	73
225	227	-0.0697552008431271	83
222	228	-0.0641277034387211	85
216	229	-0.0617833891087757	91
189	220	-0.0604432833886367	4
208	201	-0.0594807000081765	4
218	230	-0.0579926641636132	95
232	233	-0.0531245795964804	99
63	234	-0.048543101912384	100
89	235	-0.0461810009445849	101
217	236	-0.0455558062989922	105
196	237	-0.0440123879547163	107
231	238	-0.0421266268658161	111
70	239	-0.0263055193977977	112
81	240	-0.0227804526581283	113
102	241	-0.020183422354474	114
113	242	-0.0179310081312538	115
119	243	-0.0124645869924552	116
98	244	-0.00769086610920602	117
126	245	-0.00417942757618047	118
38	246	-0.00179889808767188	119
0	247	0	120
2	248	0	121
3	249	0	122
65	250	0	123
68	251	0	124
83	252	0	125
95	253	0	126
110	254	0	127
120	255	0	128
121	256	0	129
129	257	0	130
